name,album,album_id,artist,artist_id,id,popularity,duration_ms,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
Sabiá - Ao Vivo,Caravanas Ao Vivo,23D3QyvWb50hK2AYNCtpyE,Chico Buarque,6tOsSffQQIXmK8TqsDck8t,629DheUXpR6hplX51EWdiw,49.0,184119.0,0.0447,0.248,0.0,0.976,3.0,0.443,-16.538,0.813,0.0323,0.276,117.991
A Festa - Acústico,A Festa (Acústico),1DtKWa3ZQLTmmN3nGuKPZ1,Milton Nascimento,3Bnq7jiU506HcPjRgQ43TM,3YM4WkQaQhzjf40skwwadH,54.0,330252.0,0.0393,0.393,1.0,0.0948,2.0,0.668,-11.89,0.922,2.53e-05,0.204,120.189
É O Que Me Interessa - Ao Vivo,Lenine Em Trânsito (Ao Vivo / Deluxe),2i3C0flV9Ja7NWidhVLKl2,Lenine,4YLBdrR3DVSMncm785NH6C,4NTR6pdFJ0WeDcNk5SQ222,53.0,241241.0,0.0298,0.0961,1.0,0.185,7.0,0.57,-16.782,0.407,0.106,0.174,96.11
Apenas Mais uma de Amor,Lulu Acústico,14xCfgcBE9uCrwwR36NoVB,Lulu Santos,0A1oy7PC7fdzURgaLaWkL1,6YNCE5qtrTa7YcnAOAEsDQ,71.0,218266.0,0.0345,0.262,1.0,0.735,5.0,0.39,-13.509,0.0563,0.0,0.355,165.961
A Paz,A Paz,1g73VZKMc5JMTSJRPmJAEi,Yahoo,29bYY1WyOuJ3Z2jxYhT7kM,1KWfe3foeRReSVyMRXIFJr,47.0,221285.0,0.0233,0.551,1.0,0.199,0.0,0.677,-7.756,0.413,0.00427,0.587,108.06
Como Vai Você,Como Vai Você,73zRVTgL5JJugtY1zWasXe,Nando Reis,7n1XMwvxPf10t4OX6h6Ufy,6DihrQCKtLq7SpVQt4jBzA,51.0,227568.0,0.0265,0.29,1.0,0.113,9.0,0.548,-9.872,0.248,0.0,0.462,137.98
O Tempo Não Para,O Tempo Não Para,1qH1fd3iVJh3D56ZQRjdc4,Elza Soares,4cn4gMq0KXORHeYA45PcBi,7cHFPtdFTUnIKy2E6yIJ70,54.0,256837.0,0.0333,0.585,0.0,0.324,7.0,0.657,-6.86,0.00487,1.03e-06,0.597,134.959
O Segundo Sol: Turnê Jardim-Pomar (Ao Vivo em Porto Alegre),O Segundo Sol: Turnê Jardim-Pomar (Ao Vivo em Porto Alegre),2hrS3ADuXuced8UnMTWubm,Nando Reis,7n1XMwvxPf10t4OX6h6Ufy,4pID7hvPWS15Xu1e2XdraW,48.0,253973.0,0.0706,0.535,1.0,0.069,9.0,0.381,-8.141,0.113,8.02e-05,0.76,151.674
Olhos Nos Olhos,Pássaro Proibido,2cRw1H1XHHS9VHxQkbz0Y5,Maria Bethânia,3f5VCwd57gZsqMad28jyLV,30F630HDvFOckjhqBZfl9L,1.0,275906.0,0.0382,0.201,1.0,0.32,5.0,0.624,-6.232,0.618,1.38e-05,0.671,134.586
Canto de Ossanha,Os Primeiros Anos,5CtT0oNeHpOhP10uyBORnC,Toquinho,7rPqFVgJYARiFsLDlN6W6y,5N8wA5SKIlFk2gtQR7NGqT,50.0,122760.0,0.0491,0.47,0.0,0.108,7.0,0.457,-11.795,0.947,0.874,0.308,196.065
Entre a Serpente e a Estrela - Ao Vivo,Zé Ramalho Na Paraíba (Ao Vivo),7IBdFBeduRIbjjxyqT8QdA,Zé Ramalho,7JoWcJHDOG58JYTe6d400S,5t1XCqqd7HxVd5Aa2T4nIY,50.0,213093.0,0.0499,0.596,1.0,0.234,2.0,0.539,-5.552,0.656,1.87e-06,0.721,128.522
Paisagem da Janela - Ao Vivo,Tênis + Clube - Ao Vivo No Circo Voador,5oYcMJgLk78W4BveRGzcMQ,Lô Borges,1mZbRiSVb2ExneAlDbBiiT,4e25SCOxAWPs7uiDOXT6Zu,48.0,192062.0,0.0361,0.78,1.0,0.97,0.0,0.276,-6.618,0.00724,2.63e-05,0.806,175.278
Construção,Construção,5YARZzYbonX4CbZ5hucHPc,Chico Buarque,6tOsSffQQIXmK8TqsDck8t,1ECean5dVz7mYQ07mdVGKT,2.0,383706.0,0.0321,0.556,0.0,0.151,4.0,0.503,-11.077,0.578,8.02e-05,0.459,126.679
Corra e Olhe o Céu - Ao Vivo,Corra e Olhe o Céu (Ao Vivo),79DPA9Kvc8oVkSQCqt8rSV,Teresa Cristina,2j5unrF80yCu3AF8MPE2VE,2Ug8FA6W5k7ZcXDgi7AmZE,1.0,145884.0,0.0544,0.385,1.0,0.716,7.0,0.623,-15.922,0.972,0.00282,0.135,83.215
